id,kode_provinsi,nama_provinsi,kode_bulan,nama_bulan,tingkat_partisipasi_angkatan_kerja,satuan,tahun
1,32,JAWA BARAT,2,FEBRUARI,64.6,PERSEN,2017
2,32,JAWA BARAT,8,AGUSTUS,63.34,PERSEN,2017
3,32,JAWA BARAT,2,FEBRUARI,63.73,PERSEN,2018
4,32,JAWA BARAT,8,AGUSTUS,62.84,PERSEN,2018
5,32,JAWA BARAT,2,FEBRUARI,65.61,PERSEN,2019
6,32,JAWA BARAT,8,AGUSTUS,64.99,PERSEN,2019
7,32,JAWA BARAT,2,FEBRUARI,65.89,PERSEN,2020
8,32,JAWA BARAT,8,AGUSTUS,64.53,PERSEN,2020
9,32,JAWA BARAT,2,FEBRUARI,64.83,PERSEN,2021
10,32,JAWA BARAT,8,AGUSTUS,64.95,PERSEN,2021
11,32,JAWA BARAT,2,FEBRUARI,66.31,PERSEN,2022
12,32,JAWA BARAT,8,AGUSTUS,66.15,PERSEN,2022
