id,kode_provinsi,nama_provinsi,pendidikan,jumlah_angkatan_kerja,satuan,tahun
1,32,JAWA BARAT,SD KEBAWAH,9554291,ORANG,2022
2,32,JAWA BARAT,SMTP,4508910,ORANG,2022
3,32,JAWA BARAT,SMTA UMUM,4662753,ORANG,2022
4,32,JAWA BARAT,SMTA KEJURUAN,3916151,ORANG,2022
5,32,JAWA BARAT,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,2936069,ORANG,2022
6,32,JAWA BARAT,SD KEBAWAH,9247124,ORANG,2023
7,32,JAWA BARAT,SMTP,4543971,ORANG,2023
8,32,JAWA BARAT,SMTA UMUM,4648737,ORANG,2023
9,32,JAWA BARAT,SMTA KEJURUAN,3919183,ORANG,2023
10,32,JAWA BARAT,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,3032870,ORANG,2023
